115,Bacillus phage phiNIT1,AB091475,134
116,Bacillus phage PZA,M11813,1
117,Bacillus phage SPO1,NC_011421,498
118,Bacillus phage PM1,AB711120,1212
119,Bacillus phage Spock,NC_022763,1562
120,Bacillus phage BigBertha,NC_022769,1566
121,Bacillus phage phiCM3,NC_023599,1629
122,Bacillus phage CAM003,NC_024216,1764
123,Bacillus phage Bam35c,NC_005258,171
124,Bacillus phage GIL16c,NC_006945,217
125,Bacillus phage BtCS33,NC_018085,938
126,Bacillus phage 0305phi8-36,NC_009760,388
127,Bacillus phage IEBH,NC_011167,470
128,Bacillus phage phIS3501,NC_019502,1075
129,Bacillus phage BMBtp2,NC_019912,1138
130,Bacillus phage pGIL01,AJ536073,782
131,Bacillus phage BceA1,HE614282,956
132,Bacillus phage proCM3,KF296717,1490
133,Bacillus phage Waukesha92,KJ920400,1784
134,Bacillus phage Bobb,KM051843,1842
135,Bacillus phage MG-B1,NC_021336,1338
136,Bacteroides phage B40-8,NC_011222,475
137,Bacteroides phage B124-14,NC_016770,853
138,Bdellovibrio phage phiMH2K,NC_002643,59
139,Bdellovibrio phage phi1402,NC_015721,704
140,Bdellovibrio phage phi1422,NC_019525,1092
141,Bordetella phage BIP-1,NC_005809,183
142,Bordetella phage BPP-1,NC_005357,180
143,Bordetella phage BMP-1,NC_005808,182
144,Corynebacterium phage BFK20,NC_009799,1930
145,Brochothrix phage NF5,NC_015252,682
146,Brochothrix phage A9,NC_015253,683
147,Brochothrix phage BL3,NC_015254,691
148,Brucella phage Tb,NC_019446,1058
149,Brucella phage Fz,KC556894,1551
150,Brucella phage Wb,KC556898,1554
151,Brucella phage R/C,KC556895,1552
152,Brucella phage Pr,NC_019447,1059
153,Brucella phage Bk,KC556893,1550
154,Brucella phage F1,HG428758,1493
155,Brucella phage S708,KC556896,1553
156,Burkholderia ambifaria phage BcepF1,NC_009015,358
157,Burkholderia phage KL3,NC_015266,686
158,Burkholderia phage JG068,NC_022916,1519
159,Burkholderia phage KL1,NC_018278,974
160,Burkholderia phage AH2,NC_018283,978
161,Burkholderia phage BcepNY3,NC_009604,384
162,Burkholderia phage BcepIL02,NC_012743,795
163,Burkholderia phage KS5,NC_015265,685
164,Burkholderia phage KS14,NC_015273,688
165,Burkholderia phage Bcep1,NC_005263,193
166,Burkholderia phage BcepMu,NC_005882,198
167,Burkholderia phage BcepB1A,NC_005886,285
168,Burkholderia phage KS10,NC_011216,473
169,Burkholderia phage BcepMigl,NC_019917,1143
170,Burkholderia phage DC1,NC_018452,980
171,Burkholderia phage BcepNazgul,NC_005091,322
172,Burkholderia phage Bcep22,NC_005262,1929
173,Burkholderia phage BcepC6B,NC_005887,200
174,Burkholderia phage Bcep43,NC_005342,195
175,Burkholderia phage BcepGomr,NC_009447,371
176,Burkholderia phage Bcep781,NC_004333,194
177,Burkholderia phage Bcep176,NC_007497,292
178,Burkholderia phage phi1026b,NC_005284,172
179,Burkholderia prophage phi52237,NC_007145,342
180,Burkholderia phage phiE12-2 chromosome,NC_009236,364
181,Burkholderia phage phi644-2 chromosome,NC_009235,381
182,Burkholderia phage ST79,NC_021343,1341
183,Burkholderia phage phiX216,JX681814,1038
184,Burkholderia phage BEK,CP008753,1873
