102,Bacillus phage Finn,Bacillus pumilus
103,Bacillus phage Gemini,Bacillus pumilus
104,Bacillus phage Taylor,Bacillus pumilus
105,Bacillus virus 1,Bacillus sp. H15-1
106,Bacillus phage GA-1,Bacillus sp. H15-1
107,Bacillus phage Grass,Bacillus subtilis
108,Bacillus phage CampHawk,Bacillus subtilis
109,Bacillus phage SPBc2,Bacillus subtilis
110,Bacillus phage B103,Bacillus subtilis
111,Bacillus phage phi105,Bacillus subtilis
112,Bacillus phage SPP1,Bacillus subtilis
113,Bacillus phage phi29,Bacillus subtilis
114,Bacillus phage PM1 DNA,Bacillus subtilis
115,Bacillus phage phiNIT1 DNA,Bacillus subtilis
116,Bacillus phage phiNIT1,Bacillus subtilis
117,Bacillus phage PZA,Bacillus subtilis
118,Bacillus phage SPO1,Bacillus subtilis
119,Bacillus phage PM1,Bacillus subtilis
120,Bacillus phage Spock,Bacillus thuringiensis
121,Bacillus phage BigBertha,Bacillus thuringiensis
122,Bacillus phage phiCM3,Bacillus thuringiensis
123,Bacillus phage CAM003,Bacillus thuringiensis
124,Bacillus phage Bam35c,Bacillus thuringiensis
125,Bacillus phage GIL16c,Bacillus thuringiensis
126,Bacillus phage BtCS33,Bacillus thuringiensis
127,Bacillus phage 0305phi8-36,Bacillus thuringiensis
128,Bacillus phage IEBH,Bacillus thuringiensis
129,Bacillus phage phIS3501,Bacillus thuringiensis
130,Bacillus phage BMBtp2,Bacillus thuringiensis
131,Bacillus phage pGIL01,Bacillus thuringiensis
132,Bacillus phage BceA1,Bacillus thuringiensis
133,Bacillus phage proCM3,Bacillus thuringiensis
134,Bacillus phage Waukesha92,Bacillus thuringiensis
135,Bacillus phage Bobb,Bacillus thuringiensis
136,Bacillus phage MG-B1,Bacillus weihenstephanensis
137,Bacteroides phage B40-8,Bacteroides fragilis
138,Bacteroides phage B124-14,Bacteroides fragilis
139,Bdellovibrio phage phiMH2K,Bdellovibrio bacteriovorus
140,Bdellovibrio phage phi1402,Bdellovibrio bacteriovorus
141,Bdellovibrio phage phi1422,Bdellovibrio bacteriovorus
142,Bordetella phage BIP-1,Bordetella bronchiseptica
143,Bordetella phage BPP-1,Bordetella bronchiseptica
144,Bordetella phage BMP-1,Bordetella bronchiseptica
145,Corynebacterium phage BFK20,Brevibacterium flavum
146,Brochothrix phage NF5,Brochothrix thermosphacta
147,Brochothrix phage A9,Brochothrix thermosphacta
148,Brochothrix phage BL3,Brochothrix thermosphacta
149,Brucella phage Tb,Brucella abortus
150,Brucella phage Fz,Brucella abortus
151,Brucella phage Wb,Brucella abortus
152,Brucella phage R/C,Brucella canis
153,Brucella phage Pr,Brucella melitensis
154,Brucella phage Bk,Brucella melitensis
155,Brucella phage F1,Brucella sp. 2002734562
156,Brucella phage S708,Brucella suis
157,Burkholderia ambifaria phage BcepF1,Burkholderia ambifaria
158,Burkholderia phage KL3,Burkholderia ambifaria
159,Burkholderia phage JG068,Burkholderia cenocepacia
160,Burkholderia phage KL1,Burkholderia cenocepacia
161,Burkholderia phage AH2,Burkholderia cenocepacia
162,Burkholderia phage BcepNY3,Burkholderia cenocepacia
163,Burkholderia phage BcepIL02,Burkholderia cenocepacia
164,Burkholderia phage KS5,Burkholderia cenocepacia
165,Burkholderia phage KS14,Burkholderia cenocepacia
166,Burkholderia phage Bcep1,Burkholderia cenocepacia
167,Burkholderia phage BcepMu,Burkholderia cenocepacia
168,Burkholderia phage BcepB1A,Burkholderia cenocepacia
169,Burkholderia phage KS10,Burkholderia cenocepacia
170,Burkholderia phage BcepMigl,Burkholderia cenocepacia
171,Burkholderia phage DC1,Burkholderia cepacia
172,Burkholderia phage BcepNazgul,Burkholderia cepacia
173,Burkholderia phage Bcep22,Burkholderia cepacia
174,Burkholderia phage BcepC6B,Burkholderia cepacia
175,Burkholderia phage Bcep43,Burkholderia cepacia
176,Burkholderia phage BcepGomr,Burkholderia cepacia
177,Burkholderia phage Bcep781,Burkholderia cepacia
178,Burkholderia phage Bcep176,Burkholderia cepacia
179,Burkholderia phage phi1026b,Burkholderia pseudomallei
180,Burkholderia prophage phi52237,Burkholderia pseudomallei
181,Burkholderia phage phiE12-2 chromosome,Burkholderia pseudomallei
182,Burkholderia phage phi644-2 chromosome,Burkholderia pseudomallei
183,Burkholderia phage ST79,Burkholderia pseudomallei
184,Burkholderia phage phiX216,Burkholderia pseudomallei
185,Burkholderia phage BEK,Burkholderia pseudomallei
186,Burkholderia phage phiE12-2,Burkholderia pseudomallei
187,Burkholderia phage phi644-2,Burkholderia pseudomallei
188,Burkholderia phage KS9,Burkholderia pyrrocinia
189,Burkholderia phage phiE125,Burkholderia thailandensis
190,Burkholderia phage phiE202 chromosome,Burkholderia thailandensis
191,Burkholderia phage phiE255 chromosome,Burkholderia thailandensis
192,Burkholderia phage phiE202,Burkholderia thailandensis
193,Burkholderia phage phiE255,Burkholderia thailandensis
194,Campylobacter phage NCTC12673,Campylobacter jejuni
195,Campylobacter phage CPX,Campylobacter jejuni
196,Campylobacter phage CP30A,Campylobacter jejuni
